State,Medicaid Expansion State?        Yes (Y) or No (N)1,2013 Uninsured - Number in thousands,2013 Uninsured - Number - Margin of Error2 (±)  ,2013 Uninsured - Percent,2013 Uninsured - Percent - Margin of Error2 (±)  ,2014 Uninsured - Number,2014 Uninsured - Number - Margin of Error2 (±) ,2014 Uninsured - Percent,2014 Uninsured - Percent - Margin of Error2 (±) ,2015 Uninsured - Number,2015 Uninsured - Number - Margin of Error2 (±) ,2015 Uninsured - Percent,2015 Uninsured - Percent - Margin of Error2 (±) ,Difference in Uninsured (2015 less 2014) - Number,Difference in Uninsured (2015 less 2014) - Number - Margin of Error2 (±) ,Difference in Uninsured (2015 less 2014) - Percent,Difference in Uninsured (2015 less 2014) - Percent - Margin of Error2 (±) ,Difference in Uninsured (2015 less 2013) - Number,Difference in Uninsured (2015 less 2013) - Number - Margin of Error2 (±) ,Difference in Uninsured (2015 less 2013) - Percent,Difference in Uninsured (2015 less 2013)- Percent - Margin of Error2 (±) 
United States,,"45,181",200,14.5,0.1,"36,670",190,11.7,0.1,"29,758",179,9.4,0.1,"*-6,913",261,*-2.3,0.1,"*-15,423", 269 ,*-5.1,0.1
Alabama,N,645,17,13.6,0.4,579,17,12.1,0.4,484,16,10.1,0.3,*-95,23,*-2.0,0.5,*-161, 23 ,*-3.4,0.5
Alaska,N,132,7,18.5,1.0,122,6,17.2,0.9,106,5,14.9,0.7,*-16,8,*-2.3,1.1,*-26, 9 ,*-3.7,1.2
Arizona,Y,"1,118",24,17.1,0.4,903,18,13.6,0.3,728,21,10.8,0.3,*-175,28,*-2.8,0.4,*-390, 32 ,*-6.3,0.5
Arkansas,Y,465,14,16.0,0.5,343,13,11.8,0.4,278,12,9.5,0.4,*-66,18,*-2.3,0.6,*-187, 18 ,*-6.5,0.6
California,Y,"6,500",57,17.2,0.2,"4,767",47,12.4,0.1,"3,317",34,8.6,0.1,"*-1,449",58,*-3.9,0.2,"*-3,183", 66 ,*-8.6,0.2
Colorado,Y,729,18,14.1,0.3,543,16,10.3,0.3,433,15,8.1,0.3,*-110,22,*-2.2,0.4,*-297, 23 ,*-6.0,0.4
Connecticut,Y,333,14,9.4,0.4,245,11,6.9,0.3,211,13,6.0,0.4,*-35,17,*-1.0,0.5,*-122, 20 ,*-3.4,0.6
Delaware,Y,83,6,9.1,0.7,72,6,7.8,0.7,54,6,5.9,0.6,*-17,8,*-1.9,0.9,*-29, 8 ,*-3.3,0.9
District of Columbia..,Y,42,4,6.7,0.6,34,4,5.3,0.7,25,4,3.8,0.6,*-9,6,*-1.5,0.9,*-17, 5 ,*-2.9,0.8
Florida,N,"3,853",43,20.0,0.2,"3,245",43,16.6,0.2,"2,662",40,13.3,0.2,*-584,59,*-3.2,0.3,"*-1,191", 59 ,*-6.7,0.3
Georgia,N,"1,846",30,18.8,0.3,"1,568",28,15.8,0.3,"1,388",26,13.9,0.3,*-180,38,*-2.0,0.4,*-458, 39 ,*-5.0,0.4
Hawaii,Y,91,6,6.7,0.4,72,5,5.3,0.4,55,4,4.0,0.3,*-18,7,*-1.3,0.5,*-36, 7 ,*-2.8,0.5
Idaho,N,257,12,16.2,0.8,219,11,13.6,0.7,180,10,11.0,0.6,*-38,15,*-2.5,0.9,*-77, 16 ,*-5.1,1.0
Illinois,Y,"1,618",27,12.7,0.2,"1,238",22,9.7,0.2,900,22,7.1,0.2,*-338,31,*-2.6,0.2,*-718, 35 ,*-5.6,0.3
Indiana,N,903,19,14.0,0.3,776,22,11.9,0.3,628,17,9.6,0.3,*-148,28,*-2.3,0.4,*-275, 26 ,*-4.3,0.4
